Code,Date,Observed,Suggested,Anomaly (std.devs.),Deleted
08821005_0,2000-06-01,662.6,NA,NA,1
08367001_0,2005-05-01,607.5,NA,NA,1
08220005_3,2009-08-01,606,NA,NA,1
08140001_6,2000-06-01,823,NA,NA,1
08930000_2,2020-06-01,1124.1,NA,NA,1
08122003_4,1992-05-01,847.7,NA,NA,1
*ERA5_08140001_6,2000-05-01,545.9862,NA,NA,1
*ERA5_08210002_4,2000-05-01,524.5819,NA,NA,1
*ERA5_08210003_2,2000-05-01,503.8872,NA,NA,1
*ERA5_08220005_3,2000-05-01,503.8872,NA,NA,1
*ERA5_08220006_1,2000-05-01,503.8872,NA,NA,1
*ERA5_08220008_8,2000-05-01,503.8872,NA,NA,1
*ERA5_08220015_0,2000-05-01,545.9862,NA,NA,1
*ERA5_08358005_4,2000-05-01,702.3201,NA,NA,1
*ERA5_08385010_8,2000-05-01,610.5537,NA,NA,1
*ERA5_08391003_8,2000-05-01,752.1057,NA,NA,1
*ERA5_08393002_0,2000-05-01,621.1967,NA,NA,1
*ERA5_08394001_8,2000-05-01,503.8872,NA,NA,1
*ERA5_08394006_9,2000-05-01,503.8872,NA,NA,1
*ERA5_08394011_5,2000-05-01,519.2604,NA,NA,1
*ERA5_08400001_9,2000-05-01,595.89,NA,NA,1
*ERA5_08410001_3,2000-05-01,503.8872,NA,NA,1
*ERA5_08410002_1,2000-05-01,503.8872,NA,NA,1
*ERA5_08410005_6,2000-05-01,621.1967,NA,NA,1
*ERA5_08420001_8,2000-05-01,668.026,NA,NA,1
*ERA5_08500001_2,2000-05-01,971.1151,NA,NA,1
*ERA5_08520000_3,2000-05-01,684.7,NA,NA,1
*ERA5_08520002_K,2000-05-01,752.1057,NA,NA,1
*ERA5_08600004_0,2000-05-01,645.2026,NA,NA,1
*ERA5_08700001_K,2000-05-01,819.3932,NA,NA,1
*ERA5_08700002_8,2000-05-01,819.3932,NA,NA,1
*ERA5_08700003_6,2000-05-01,819.3932,NA,NA,1
*ERA5_08930000_2,2000-05-01,629.9477,NA,NA,1
*ERA5_EXT_1005,1997-05-01,421.1082,NA,NA,1
*ERA5_EXT_1005,2000-05-01,504.5967,NA,NA,1
*ERA5_EXT_1005,2001-06-01,359.23,NA,NA,1
*ERA5_EXT_1015,2000-05-01,819.3932,NA,NA,1
*ERA5_EXT_1026,2000-05-01,437.4275,NA,NA,1
*ERA5_EXT_111,2000-05-01,503.8872,NA,NA,1
*ERA5_EXT_955,2000-05-01,629.9477,NA,NA,1
*ERA5_EXT_975,2000-05-01,592.6971,NA,NA,1
*ERA5_EXT_990,2000-05-01,819.3932,NA,NA,1
*ERA5_EXT_998,2000-05-01,752.1057,NA,NA,1
*ERA5_INIA_10,2000-05-01,503.8872,NA,NA,1
*ERA5_INIA_144,2000-05-01,600.502,NA,NA,1
*ERA5_INIA_15,2000-05-01,621.1967,NA,NA,1
*ERA5_INIA_161,2000-05-01,629.9477,NA,NA,1
*ERA5_INIA_209,2000-05-01,577.3239,NA,NA,1
*ERA5_INIA_308,2000-05-01,645.2026,NA,NA,1
*ERA5_INIA_310,2000-05-01,545.9862,NA,NA,1
*ERA5_INIA_325,2000-05-01,695.816,NA,NA,1
08821005_0,2000-05-01,NA,NA,NA,1
08410001_3,2000-05-01,556.5,NA,NA,1
08210002_4,2000-05-01,498.4,NA,NA,1
08367001_0,2000-05-01,515,NA,NA,1
08367001_0,2003-05-01,476,NA,NA,1
08367001_0,2005-04-01,NA,NA,NA,1
08220005_3,2005-05-01,530.8,NA,NA,1
08220005_3,2009-07-01,NA,NA,NA,1
08140001_6,2000-05-01,NA,NA,NA,1
08122002_6,2000-05-01,764.1,NA,NA,1
*ERA5_08140001_6,2000-04-01,NA,NA,NA,1
*ERA5_08210002_4,2000-04-01,NA,NA,NA,1
*ERA5_08210003_2,2000-04-01,NA,NA,NA,1
*ERA5_08220005_3,2000-04-01,NA,NA,NA,1
*ERA5_08220006_1,2000-04-01,NA,NA,NA,1
*ERA5_08220008_8,2000-04-01,NA,NA,NA,1
*ERA5_08220015_0,2000-04-01,NA,NA,NA,1
*ERA5_08319001_9,2000-04-01,581.5811,NA,NA,1
*ERA5_08319002_7,2000-04-01,581.5811,NA,NA,1
*ERA5_08323001_0,2000-04-01,581.5811,NA,NA,1
