1.5 1 -0.5 -1.5 -3.2
-5.5 -4 -4 -5.5 -2.5
-1.1 1 1 -0.7 -0.5
-0.6 -7.4 -5.6 -4.9 -5
-2 -2 2 1.6 3.4
2.5 2 -0.5 -4.6 -3
-6.5 -5.6 -2.8 0 0.4
2 NA 2 0 1
-2.7 -4.2 -5 -3.4 -3
0 2.6 0.6 4 1.1
-1.2 -2 -2.4 -3 -4.5
-4 -1.6 -1 1.1 3.6
4 2.6 0.3 -0.4 -3
-5.5 -5 -2.4 -2.2 -0.6
2 3 0.6 1.9 1.2
0.4 -1.9 -6 -4 -1
0 -0.2 -0.4 3.8 2.8
2 2.6 -1 -1.8 -0.4
-3.6 -2.5 -1.2 -0.6 3
5 3.2 5 1 -2.2
1.2 -3 -3.6 -2.5 -3
1 -1 1 2 2
0.5 -1.4 -3.2 -4.3 -5.5
-2 -2.1 -0.5 2.5 2
1.5 3 -0.6 -2.6 -3
-6 -4.9 -3.9 -3.1 0.5
0.2 0.9 3 5.6 1.4
-2.8 -1 -2.6 -4 -0.9
1.4 0 0.1 4.5 5.4
1 1 0 1 -4
-0.6 0 -0.2 0 1.4
5 2.1 3.4 0.1 3
-1 -4.2 -2.4 -2.4 -0.2
0.1 4.4 3.6 3.8 4.2
2 -0.4 -1.8 -1.4 -1.6
-2.2 -2.4 1.4 2 3.8
4 4.6 2.4 -1.2 -0.8
-3 -1.2 -3.2 -2 0.6
1.8 2.2 4.4 5.6 1.4
0.2 -3 -1.6 -4.2 -0.4
-2 1.6 2.7 2.8 5
3.4 1.6 3 -6.2 -2
-3.4 -4.4 -1 0.4 1.6
1 4.4 4.2 4.2 0
-3 -1 -3 0.7 -0.5
2 2 6 3 3
4 1.8 -1.3 0.31 -5
2.5 -1.8 -2.25 1 2.6
5.2 4.7 3.4 0.6 -0.5
-4.4 -3.6 -4.9 0 1
3.8 2 4.2 5 2
1.2 -1.5 -5 -5.2 -0.8
0 4 3.3 3.1 6.2
2.3 2.8 0.3 -2 -4
-3.4 -0.23 -0.1 0 0.1
3 5.7 3.1 1.8 -1.3
-1.2 -2.2 -2.8 -3 -1.6
-0.8 3.3 3.8 3.2 5.8
3 -0.75 -1.15 -2 -1.7
-1.58 0.35 0.8 3.6 2.8
3.71 5.69 2 1.19 0.03
-3.98 -2.33 -1.03 NA -1.4
0.82 2.39 5.61 5.4 2.55
-0.6 -0.72 -1.8 -4.2 -2.6
-2.2 0.4 2.4 4 5
5.4 3.2 3.4 -2.4 NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
NA NA NA NA NA
