Code,Date,Observed,Suggested,Anomaly (std.devs.),Deleted
10360002_2,1990-03-01,-0.5,NA,NA,1
10360002_2,1990-04-01,-1.5,NA,NA,1
10360002_2,1990-05-01,-3.2,NA,NA,1
10360002_2,1990-06-01,-5.5,NA,NA,1
10360002_2,1990-07-01,-4,NA,NA,1
10360002_2,1990-08-01,-4,NA,NA,1
10360002_2,1990-09-01,-5.5,NA,NA,1
10360002_2,1990-10-01,-2.5,NA,NA,1
10360002_2,1990-11-01,-1.1,NA,NA,1
10360002_2,1991-02-01,-0.7,NA,NA,1
10360002_2,1991-03-01,-0.5,NA,NA,1
10360002_2,1991-04-01,-0.6,NA,NA,1
10360002_2,1991-05-01,-7.4,NA,NA,1
10360002_2,1991-06-01,-5.6,NA,NA,1
10360002_2,1991-07-01,-4.9,NA,NA,1
10360002_2,1991-08-01,-5,NA,NA,1
10360002_2,1991-09-01,-2,NA,NA,1
10360002_2,1991-10-01,-2,NA,NA,1
10360002_2,1992-04-01,-0.5,NA,NA,1
10360002_2,1992-05-01,-4.6,NA,NA,1
10360002_2,1992-06-01,-3,NA,NA,1
10360002_2,1992-07-01,-6.5,NA,NA,1
10360002_2,1992-08-01,-5.6,NA,NA,1
10360002_2,1992-09-01,-2.8,NA,NA,1
10360002_2,1993-05-01,-2.7,NA,NA,1
10360002_2,1993-06-01,-4.2,NA,NA,1
10360002_2,1993-07-01,-5,NA,NA,1
10360002_2,1993-08-01,-3.4,NA,NA,1
10360002_2,1993-09-01,-3,NA,NA,1
10360002_2,1994-03-01,-1.2,NA,NA,1
10360002_2,1994-04-01,-2,NA,NA,1
10360002_2,1994-05-01,-2.4,NA,NA,1
10360002_2,1994-06-01,-3,NA,NA,1
10360002_2,1994-07-01,-4.5,NA,NA,1
10360002_2,1994-08-01,-4,NA,NA,1
10360002_2,1994-09-01,-1.6,NA,NA,1
10360002_2,1994-10-01,-1,NA,NA,1
10360002_2,1995-04-01,-0.4,NA,NA,1
10360002_2,1995-05-01,-3,NA,NA,1
10360002_2,1995-06-01,-5.5,NA,NA,1
10360002_2,1995-07-01,-5,NA,NA,1
10360002_2,1995-08-01,-2.4,NA,NA,1
10360002_2,1995-09-01,-2.2,NA,NA,1
10360002_2,1995-10-01,-0.6,NA,NA,1
10360002_2,1996-05-01,-1.9,NA,NA,1
10360002_2,1996-06-01,-6,NA,NA,1
10360002_2,1996-07-01,-4,NA,NA,1
10360002_2,1996-08-01,-1,NA,NA,1
10360002_2,1996-10-01,-0.2,NA,NA,1
10360002_2,1996-11-01,-0.4,NA,NA,1
10360002_2,1997-04-01,-1,NA,NA,1
10360002_2,1997-05-01,-1.8,NA,NA,1
10360002_2,1997-06-01,-0.4,NA,NA,1
10360002_2,1997-07-01,-3.6,NA,NA,1
10360002_2,1997-08-01,-2.5,NA,NA,1
10360002_2,1997-09-01,-1.2,NA,NA,1
10360002_2,1997-10-01,-0.6,NA,NA,1
10360002_2,1998-04-01,-2.2,NA,NA,1
10360002_2,1998-06-01,-3,NA,NA,1
10360002_2,1998-07-01,-3.6,NA,NA,1
10360002_2,1998-08-01,-2.5,NA,NA,1
10360002_2,1998-09-01,-3,NA,NA,1
10360002_2,1998-11-01,-1,NA,NA,1
10360002_2,1999-04-01,-1.4,NA,NA,1
10360002_2,1999-05-01,-3.2,NA,NA,1
10360002_2,1999-06-01,-4.3,NA,NA,1
10360002_2,1999-07-01,-5.5,NA,NA,1
10360002_2,1999-08-01,-2,NA,NA,1
10360002_2,1999-09-01,-2.1,NA,NA,1
10360002_2,1999-10-01,-0.5,NA,NA,1
10360002_2,2000-03-01,-0.6,NA,NA,1
10360002_2,2000-04-01,-2.6,NA,NA,1
10360002_2,2000-05-01,-3,NA,NA,1
10360002_2,2000-06-01,-6,NA,NA,1
10360002_2,2000-07-01,-4.9,NA,NA,1
10360002_2,2000-08-01,-3.9,NA,NA,1
10360002_2,2000-09-01,-3.1,NA,NA,1
10360002_2,2001-04-01,-2.8,NA,NA,1
10360002_2,2001-05-01,-1,NA,NA,1
10360002_2,2001-06-01,-2.6,NA,NA,1
10360002_2,2001-07-01,-4,NA,NA,1
10360002_2,2001-08-01,-0.9,NA,NA,1
10360002_2,2002-06-01,-4,NA,NA,1
10360002_2,2002-07-01,-0.6,NA,NA,1
10360002_2,2002-09-01,-0.2,NA,NA,1
10360002_2,2003-05-01,-1,NA,NA,1
10360002_2,2003-06-01,-4.2,NA,NA,1
10360002_2,2003-07-01,-2.4,NA,NA,1
10360002_2,2003-08-01,-2.4,NA,NA,1
10360002_2,2003-09-01,-0.2,NA,NA,1
10360002_2,2004-04-01,-0.4,NA,NA,1
10360002_2,2004-05-01,-1.8,NA,NA,1
10360002_2,2004-06-01,-1.4,NA,NA,1
10360002_2,2004-07-01,-1.6,NA,NA,1
10360002_2,2004-08-01,-2.2,NA,NA,1
10360002_2,2004-09-01,-2.4,NA,NA,1
10360002_2,2005-04-01,-1.2,NA,NA,1
10360002_2,2005-05-01,-0.8,NA,NA,1
10360002_2,2005-06-01,-3,NA,NA,1
10360002_2,2005-07-01,-1.2,NA,NA,1
10360002_2,2005-08-01,-3.2,NA,NA,1
10360002_2,2005-09-01,-2,NA,NA,1
10360002_2,2006-05-01,-3,NA,NA,1
10360002_2,2006-06-01,-1.6,NA,NA,1
10360002_2,2006-07-01,-4.2,NA,NA,1
10360002_2,2006-08-01,-0.4,NA,NA,1
10360002_2,2006-09-01,-2,NA,NA,1
10360002_2,2007-05-01,-6.2,NA,NA,1
10360002_2,2007-06-01,-2,NA,NA,1
10360002_2,2007-07-01,-3.4,NA,NA,1
10360002_2,2007-08-01,-4.4,NA,NA,1
10360002_2,2007-09-01,-1,NA,NA,1
10360002_2,2008-05-01,-3,NA,NA,1
10360002_2,2008-06-01,-1,NA,NA,1
10360002_2,2008-07-01,-3,NA,NA,1
10360002_2,2008-09-01,-0.5,NA,NA,1
10360002_2,2009-05-01,-1.3,NA,NA,1
10360002_2,2009-07-01,-5,NA,NA,1
10360002_2,2009-09-01,-1.8,NA,NA,1
10360002_2,2009-10-01,-2.25,NA,NA,1
10360002_2,2010-05-01,-0.5,NA,NA,1
10360002_2,2010-06-01,-4.4,NA,NA,1
10360002_2,2010-07-01,-3.6,NA,NA,1
